code,mode,class,name
J-07700,,00,077 Techniciens en radiologie
J-07710,,01,technicien en radiologie
J-07710,,02,techniciennes en radiologie
J-07900,,00,"079 Médecins, dentistes, vétérinaires et personnel assimilé n.c.a."
J-07920,,01,ostéopathe
J-07930,,01,chiropraticien
J-07930,,02,chiropraticienne
J-07940,,01,hygiéniste
J-07950,,01,technicien en orthopédie
J-07950,,02,technicienne en orthopédie
J-07990,,01,"autres médecins, dentistes, vétérinaires et personnel assimilé"
J-08000,,0,"08 Statisticiens, mathématiciens, analystes de systèmes et techniciens assimilés"
J-08100,,00,081 Statisticiens
J-08110,,01,"statisticien, en général"
J-08110,,02,"statisticienne, en général"
J-08120,,01,statisticien-mathématicien
J-08120,,02,statisticienne-mathématicienne
J-08130,,01,statisticien (statistiques appliquées)
J-08130,,02,statisticienne (statistiques appliquées)
J-08200,,00,082 Mathématiciens et actuaires
J-08220,,01,mathématicien (mathématiques pures)
J-08220,,02,mathématicienne (mathématiques pures)
J-08230,,01,mathématicien (mathématiques appliquées)
J-08230,,02,mathématicienne (mathématiques appliquées)
J-08240,,01,analyste en recherche opérationnelle
J-08250,,01,actuaire
J-08300,,00,083 Analyste de systèmes
J-08310,,01,analyste de systèmes
J-08400,,00,084 Techniciens des statistiques et des mathématiques
J-08420,,01,programmeur en informatique
J-08420,,02,programmeuse en informatique
J-08490,,01,autres techniciens des statistiques et des mathématiques
J-08490,,02,autres techniciennes des statistiques et des mathématiques
J-09000,,0,09 Économistes
J-09010,,01,"économiste, en général"
J-09020,,01,économiste spécialisé
J-09020,,02,économiste spécialisée
J-09030,,01,analyste en étude de marché
J-11000,,0,11 Comptables
J-11010,,01,"comptable, en général"
J-11020,,01,vérificateur
J-11020,,02,vérificatrice
J-11090,,01,autres comptables
J-12000,,0,12 Juristes
J-12100,,00,121 Avocats
J-12110,,01,avocat
J-12110,,02,avocate
J-12200,,00,122 Juges
J-12900,,00,129 Juristes n.c.a.
J-12910,,01,"juriste, autre qu'avocat ou juge"
J-12910,,02,"juriste, autre qu'avocate ou juge"
J-13000,,0,13 Professeurs
J-13100,,00,131 Professeurs d'université et d'établissements d'enseignement supérieur
J-13120,,01,professeur de sciences physiques (niveau supérieur)
J-13120,,02,professeure de sciences physiques (niveau supérieur)
J-13125,,01,professeur en génie et en architecture (niveau supérieur)
J-13125,,02,professeure en génie et en architecture (niveau supérieur)
J-13130,,01,professeur de sciences biologiques et médicales (niveau supérieur)
J-13130,,02,professeure de sciences biologiques et médicales (niveau supérieur)
J-13140,,01,professeur de mathématiques (niveau supérieur)
J-13140,,02,professeure de mathématiques (niveau supérieur)
J-13145,,01,professeur de sciences économiques et commerciales (niveau supérieur)
J-13145,,02,professeure de sciences économiques et commerciales (niveau supérieur)
J-13150,,01,professeur de droit (niveau supérieur)
J-13150,,02,professeure de droit (niveau supérieur)
J-13155,,01,professeur de pédagogie (niveau supérieur)
J-13155,,02,professeure de pédagogie (niveau supérieur)
J-13160,,01,professeur de sciences agricoles (niveau supérieur)
J-13160,,02,professeure de sciences agricoles (niveau supérieur)
J-13165,,01,"Professeur d'histoire, de philosophie, de sociologie et d'autres sciences sociales apparentées (niveau supérieur)"
